============================================================
MAT Pseudo-Grid LWM (Method 2: 8×16) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_pseudo_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_pseudo_lwm_weights.pth
------------------------------------------------------------
Dataset — train: 898605, val: 224651, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
  step  3050/14041 | loss 43.9349 | data 0.1 ms | step 4.5 ms | 14205.7 samples/s
  step  3100/14041 | loss 43.1362 | data 0.1 ms | step 4.4 ms | 14403.0 samples/s
  step  3150/14041 | loss 42.4228 | data 0.1 ms | step 4.5 ms | 14207.4 samples/s
  step  3200/14041 | loss 46.2220 | data 0.1 ms | step 3.8 ms | 16694.6 samples/s
  step  3250/14041 | loss 40.5362 | data 0.1 ms | step 3.8 ms | 16719.3 samples/s
  step  3300/14041 | loss 39.5423 | data 0.1 ms | step 3.8 ms | 16673.9 samples/s
  step  3350/14041 | loss 35.9942 | data 0.0 ms | step 3.8 ms | 16735.6 samples/s
  step  3400/14041 | loss 44.7050 | data 0.1 ms | step 3.8 ms | 16775.4 samples/s
  step  3450/14041 | loss 43.4108 | data 0.1 ms | step 3.9 ms | 16592.6 samples/s
  step  3500/14041 | loss 43.2433 | data 0.1 ms | step 3.8 ms | 16776.4 samples/s
  step  3550/14041 | loss 46.1502 | data 0.1 ms | step 3.8 ms | 16734.2 samples/s
  step  3600/14041 | loss 48.2416 | data 0.1 ms | step 3.8 ms | 16794.2 samples/s
  step  3650/14041 | loss 43.1854 | data 0.1 ms | step 3.7 ms | 17230.6 samples/s
  step  3700/14041 | loss 44.1865 | data 0.1 ms | step 3.8 ms | 16888.7 samples/s
  step  3750/14041 | loss 41.8230 | data 0.1 ms | step 3.8 ms | 16953.9 samples/s
  step  3800/14041 | loss 48.1919 | data 0.1 ms | step 3.8 ms | 16935.0 samples/s
  step  3850/14041 | loss 39.8972 | data 0.1 ms | step 3.8 ms | 16891.9 samples/s
  step  3900/14041 | loss 43.3913 | data 0.1 ms | step 3.8 ms | 16745.9 samples/s
  step  3950/14041 | loss 40.1256 | data 0.1 ms | step 3.8 ms | 16772.3 samples/s
  step  4000/14041 | loss 39.9670 | data 0.1 ms | step 3.8 ms | 17010.5 samples/s
  step  4050/14041 | loss 38.7322 | data 0.1 ms | step 3.8 ms | 17054.8 samples/s
  step  4100/14041 | loss 38.7122 | data 0.1 ms | step 3.8 ms | 16900.4 samples/s
  step  4150/14041 | loss 38.2807 | data 0.1 ms | step 3.8 ms | 17014.1 samples/s
  step  4200/14041 | loss 46.4400 | data 0.1 ms | step 3.3 ms | 19181.7 samples/s
  step  4250/14041 | loss 42.2521 | data 0.0 ms | step 3.1 ms | 20714.0 samples/s
  step  4300/14041 | loss 40.1803 | data 0.0 ms | step 3.0 ms | 20985.6 samples/s
  step  4350/14041 | loss 39.8221 | data 0.1 ms | step 3.5 ms | 18340.5 samples/s
  step  4400/14041 | loss 36.8945 | data 0.1 ms | step 3.9 ms | 16308.4 samples/s
  step  4450/14041 | loss 39.7168 | data 0.1 ms | step 3.9 ms | 16452.9 samples/s
