============================================================
MAT-ViT-LWM (Method 1: 32×32 ViT) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_vit_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_vit_lwm_weights.pth
------------------------------------------------------------
Dataset sizes — train: 898605, val: 224651, test: 1
Batches per epoch — train: 14041, val: 3511, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  2950/14041 | loss 1.6189 | data 0.1 ms | step 24.3 ms | 2629.2 samples/s
  step  3000/14041 | loss 1.5944 | data 0.1 ms | step 24.0 ms | 2669.8 samples/s
  step  3050/14041 | loss 1.7701 | data 0.1 ms | step 23.8 ms | 2684.4 samples/s
  step  3100/14041 | loss 1.4811 | data 0.1 ms | step 23.8 ms | 2691.3 samples/s
  step  3150/14041 | loss 1.3295 | data 0.1 ms | step 24.2 ms | 2644.8 samples/s
  step  3200/14041 | loss 1.3321 | data 0.1 ms | step 25.7 ms | 2494.8 samples/s
  step  3250/14041 | loss 1.3226 | data 0.1 ms | step 24.1 ms | 2659.3 samples/s
  step  3300/14041 | loss 1.2206 | data 0.1 ms | step 24.1 ms | 2653.1 samples/s
  step  3350/14041 | loss 1.1753 | data 0.1 ms | step 24.9 ms | 2566.9 samples/s
  step  3400/14041 | loss 1.8042 | data 0.1 ms | step 24.7 ms | 2587.3 samples/s
  step  3450/14041 | loss 1.4364 | data 0.1 ms | step 28.1 ms | 2278.3 samples/s
  step  3500/14041 | loss 1.1773 | data 0.1 ms | step 28.2 ms | 2267.5 samples/s
  step  3550/14041 | loss 1.1751 | data 0.1 ms | step 28.7 ms | 2230.7 samples/s
  step  3600/14041 | loss 1.1099 | data 0.1 ms | step 26.0 ms | 2466.2 samples/s
  step  3650/14041 | loss 1.1539 | data 0.1 ms | step 24.2 ms | 2645.8 samples/s
