Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step   350/1558 | loss 0.9586 | data 0.1 ms | step 74.0 ms | 6920.2 samples/s
  step   400/1558 | loss 0.9546 | data 0.1 ms | step 73.8 ms | 6939.3 samples/s
  step   450/1558 | loss 0.9542 | data 0.1 ms | step 74.1 ms | 6914.2 samples/s
  step   500/1558 | loss 0.9480 | data 0.1 ms | step 73.9 ms | 6930.1 samples/s
  step   550/1558 | loss 0.9402 | data 0.1 ms | step 73.5 ms | 6968.5 samples/s
  step   600/1558 | loss 0.9326 | data 0.1 ms | step 70.0 ms | 7318.4 samples/s
  step   650/1558 | loss 0.9333 | data 0.1 ms | step 70.0 ms | 7318.0 samples/s
  step   700/1558 | loss 0.9277 | data 0.1 ms | step 70.5 ms | 7266.6 samples/s
  step   750/1558 | loss 0.9244 | data 0.1 ms | step 70.5 ms | 7265.8 samples/s
  step   800/1558 | loss 0.9235 | data 0.1 ms | step 70.2 ms | 7296.3 samples/s
  step   850/1558 | loss 0.9195 | data 0.1 ms | step 70.2 ms | 7294.2 samples/s
  step   900/1558 | loss 0.9204 | data 0.1 ms | step 70.0 ms | 7315.5 samples/s
  step   950/1558 | loss 0.9129 | data 0.1 ms | step 70.0 ms | 7317.2 samples/s
  step  1000/1558 | loss 0.9116 | data 0.1 ms | step 70.1 ms | 7306.6 samples/s
  step  1050/1558 | loss 0.9115 | data 0.1 ms | step 69.5 ms | 7367.7 samples/s
  step  1100/1558 | loss 0.9025 | data 0.1 ms | step 73.7 ms | 6944.4 samples/s
  step  1150/1558 | loss 0.8930 | data 0.1 ms | step 73.5 ms | 6968.8 samples/s
  step  1200/1558 | loss 0.8809 | data 0.1 ms | step 72.6 ms | 7048.1 samples/s
  step  1250/1558 | loss 0.8495 | data 0.1 ms | step 72.6 ms | 7052.6 samples/s
  step  1300/1558 | loss 0.8215 | data 0.1 ms | step 72.7 ms | 7045.1 samples/s
  step  1350/1558 | loss 0.8054 | data 0.1 ms | step 74.1 ms | 6907.4 samples/s
  step  1400/1558 | loss 0.7788 | data 0.1 ms | step 74.2 ms | 6903.3 samples/s
  step  1450/1558 | loss 0.7620 | data 0.1 ms | step 74.1 ms | 6913.6 samples/s
  step  1500/1558 | loss 0.7549 | data 0.1 ms | step 73.7 ms | 6942.8 samples/s
  step  1550/1558 | loss 0.7400 | data 0.1 ms | step 74.4 ms | 6879.3 samples/s
Train Loss: 0.9027
Epoch 2
  step    50/1558 | loss 0.7237 | data 6.2 ms | step 71.6 ms | 7147.0 samples/s
  step   100/1558 | loss 0.7220 | data 0.1 ms | step 73.3 ms | 6988.7 samples/s
  step   150/1558 | loss 0.6902 | data 0.1 ms | step 72.3 ms | 7078.5 samples/s
  step   200/1558 | loss 0.6963 | data 0.1 ms | step 73.2 ms | 6990.2 samples/s
  step   250/1558 | loss 0.7011 | data 0.1 ms | step 72.9 ms | 7026.9 samples/s
  step   300/1558 | loss 0.6763 | data 0.1 ms | step 72.8 ms | 7036.6 samples/s
  step   350/1558 | loss 0.6882 | data 0.1 ms | step 73.7 ms | 6943.3 samples/s
  step   400/1558 | loss 0.6831 | data 0.1 ms | step 74.1 ms | 6910.0 samples/s
  step   450/1558 | loss 0.6649 | data 0.1 ms | step 74.4 ms | 6883.0 samples/s
  step   500/1558 | loss 0.6532 | data 0.1 ms | step 74.0 ms | 6915.7 samples/s
  step   550/1558 | loss 0.6512 | data 0.1 ms | step 72.8 ms | 7035.6 samples/s
  step   600/1558 | loss 0.6389 | data 0.1 ms | step 70.4 ms | 7273.3 samples/s
  step   650/1558 | loss 0.6272 | data 0.1 ms | step 69.8 ms | 7336.6 samples/s
  step   700/1558 | loss 0.6221 | data 0.1 ms | step 69.8 ms | 7331.6 samples/s
  step   750/1558 | loss 0.6170 | data 0.1 ms | step 70.5 ms | 7266.3 samples/s
  step   800/1558 | loss 0.6221 | data 0.1 ms | step 70.3 ms | 7278.8 samples/s
  step   850/1558 | loss 0.6030 | data 0.1 ms | step 69.4 ms | 7376.0 samples/s
  step   900/1558 | loss 0.6035 | data 0.1 ms | step 69.2 ms | 7395.2 samples/s
  step   950/1558 | loss 0.5916 | data 0.1 ms | step 69.5 ms | 7369.1 samples/s
  step  1000/1558 | loss 0.5813 | data 0.1 ms | step 69.5 ms | 7369.1 samples/s
  step  1050/1558 | loss 0.5786 | data 0.1 ms | step 69.5 ms | 7368.4 samples/s
  step  1100/1558 | loss 0.5759 | data 0.1 ms | step 69.7 ms | 7345.4 samples/s
