============================================================
LWM v1.1 + Coordinate Attention — Pretraining
============================================================
Log file    : lwm1_1_ca/model1_1_weights_ca_e2e.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1', 'city_0_newyork', 'city_1_losangeles', 'city_2_chicago', 'city_3_houston', 'city_4_phoenix', 'city_5_philadelphia', 'city_6_miami', 'city_8_dallas', 'city_9_sanfrancisco', 'city_10_austin', 'city_13_columbus', 'city_17_seattle']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Save path   : lwm1_1_ca/model1_1_weights_ca_e2e.pth
------------------------------------------------------------
Dataset sizes — train: 913664, val: 228416, test: 1
Batches per epoch — train: 14276, val: 3569, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  2850/14276 | loss 0.0764 | data 0.1 ms | step 30.0 ms | 2134.9 samples/s
  step  2900/14276 | loss 0.0841 | data 0.1 ms | step 26.9 ms | 2375.1 samples/s
  step  2950/14276 | loss 0.0627 | data 0.1 ms | step 28.4 ms | 2251.2 samples/s
  step  3000/14276 | loss 0.0639 | data 0.1 ms | step 28.1 ms | 2276.8 samples/s
  step  3050/14276 | loss 0.0822 | data 0.1 ms | step 20.4 ms | 3144.6 samples/s
  step  3100/14276 | loss 0.0810 | data 0.1 ms | step 26.7 ms | 2394.2 samples/s
  step  3150/14276 | loss 0.0618 | data 0.1 ms | step 29.5 ms | 2168.0 samples/s
  step  3200/14276 | loss 0.0693 | data 0.1 ms | step 30.1 ms | 2127.8 samples/s
  step  3250/14276 | loss 0.0618 | data 0.1 ms | step 25.3 ms | 2533.8 samples/s
  step  3300/14276 | loss 0.0581 | data 0.1 ms | step 20.1 ms | 3179.9 samples/s
  step  3350/14276 | loss 0.0589 | data 0.1 ms | step 21.6 ms | 2968.9 samples/s
  step  3400/14276 | loss 0.0669 | data 0.1 ms | step 24.7 ms | 2588.3 samples/s
  step  3450/14276 | loss 0.0586 | data 0.1 ms | step 24.4 ms | 2623.3 samples/s
  step  3500/14276 | loss 0.0676 | data 0.1 ms | step 26.0 ms | 2460.8 samples/s
  step  3550/14276 | loss 0.0589 | data 0.1 ms | step 28.5 ms | 2247.3 samples/s
  step  3600/14276 | loss 0.0539 | data 0.1 ms | step 27.4 ms | 2339.7 samples/s
  step  3650/14276 | loss 0.0555 | data 0.1 ms | step 23.5 ms | 2719.0 samples/s
  step  3700/14276 | loss 0.0658 | data 0.1 ms | step 20.2 ms | 3167.1 samples/s
  step  3750/14276 | loss 0.0593 | data 0.1 ms | step 24.6 ms | 2599.3 samples/s
  step  3800/14276 | loss 0.0480 | data 0.1 ms | step 25.6 ms | 2501.6 samples/s
  step  3850/14276 | loss 0.0461 | data 0.1 ms | step 26.5 ms | 2417.8 samples/s
  step  3900/14276 | loss 0.0506 | data 0.1 ms | step 26.9 ms | 2382.9 samples/s
  step  3950/14276 | loss 0.0639 | data 0.1 ms | step 27.3 ms | 2345.9 samples/s
  step  4000/14276 | loss 0.0475 | data 0.1 ms | step 27.4 ms | 2334.5 samples/s
  step  4050/14276 | loss 0.0454 | data 0.1 ms | step 28.1 ms | 2281.1 samples/s
  step  4100/14276 | loss 0.0479 | data 0.1 ms | step 28.7 ms | 2227.2 samples/s
  step  4150/14276 | loss 0.0413 | data 0.1 ms | step 28.3 ms | 2260.8 samples/s
  step  4200/14276 | loss 0.0424 | data 0.1 ms | step 28.0 ms | 2287.1 samples/s
  step  4250/14276 | loss 0.0416 | data 0.1 ms | step 27.7 ms | 2309.1 samples/s
  step  4300/14276 | loss 0.0397 | data 0.1 ms | step 27.8 ms | 2298.3 samples/s
  step  4350/14276 | loss 0.0388 | data 0.1 ms | step 29.3 ms | 2183.1 samples/s
  step  4400/14276 | loss 0.0384 | data 0.1 ms | step 28.0 ms | 2284.2 samples/s
  step  4450/14276 | loss 0.0389 | data 0.1 ms | step 26.4 ms | 2427.8 samples/s
  step  4500/14276 | loss 0.0509 | data 0.1 ms | step 22.1 ms | 2894.9 samples/s
  step  4550/14276 | loss 0.0433 | data 0.2 ms | step 27.2 ms | 2356.7 samples/s
  step  4600/14276 | loss 0.0385 | data 0.1 ms | step 27.0 ms | 2369.1 samples/s
  step  4650/14276 | loss 0.0387 | data 0.1 ms | step 28.5 ms | 2249.2 samples/s
  step  4700/14276 | loss 0.0383 | data 0.1 ms | step 29.0 ms | 2204.3 samples/s
  step  4750/14276 | loss 0.0527 | data 0.1 ms | step 28.1 ms | 2278.0 samples/s
  step  4800/14276 | loss 0.0494 | data 0.1 ms | step 28.7 ms | 2227.0 samples/s
  step  4850/14276 | loss 0.0404 | data 0.1 ms | step 30.7 ms | 2085.2 samples/s
  step  4900/14276 | loss 0.0374 | data 0.1 ms | step 29.9 ms | 2142.0 samples/s
  step  4950/14276 | loss 0.0595 | data 0.1 ms | step 30.3 ms | 2109.4 samples/s
  step  5000/14276 | loss 0.0379 | data 0.1 ms | step 30.1 ms | 2123.5 samples/s
  step  5050/14276 | loss 0.0350 | data 0.1 ms | step 24.3 ms | 2630.8 samples/s
  step  5100/14276 | loss 0.0360 | data 0.1 ms | step 27.4 ms | 2340.0 samples/s
  step  5150/14276 | loss 0.0365 | data 0.1 ms | step 29.0 ms | 2203.7 samples/s
  step  5200/14276 | loss 0.0352 | data 0.1 ms | step 26.3 ms | 2430.3 samples/s
  step  5250/14276 | loss 0.0362 | data 0.1 ms | step 27.9 ms | 2294.2 samples/s
  step  5300/14276 | loss 0.0308 | data 0.1 ms | step 28.5 ms | 2246.0 samples/s
  step  5350/14276 | loss 0.0321 | data 0.1 ms | step 28.2 ms | 2267.1 samples/s
  step  5400/14276 | loss 0.0321 | data 0.1 ms | step 29.5 ms | 2169.5 samples/s
  step  5450/14276 | loss 0.0431 | data 0.1 ms | step 28.9 ms | 2216.8 samples/s
  step  5500/14276 | loss 0.0366 | data 0.1 ms | step 26.8 ms | 2386.7 samples/s
  step  5550/14276 | loss 0.0302 | data 0.1 ms | step 26.6 ms | 2407.1 samples/s
