Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step 50/1558 | loss 1.0164 | 3538.5 samples/s
  step  1150/1558 | loss 0.3539 | data 0.1 ms | step 114.3 ms | 4480.8 samples/s
  step  1200/1558 | loss 0.3451 | data 0.1 ms | step 114.5 ms | 4472.2 samples/s
  step  1250/1558 | loss 0.3560 | data 0.1 ms | step 110.6 ms | 4627.2 samples/s
  step  1300/1558 | loss 0.3326 | data 0.1 ms | step 111.2 ms | 4606.0 samples/s
  step  1350/1558 | loss 0.3222 | data 0.1 ms | step 113.2 ms | 4521.1 samples/s
  step  1400/1558 | loss 0.3102 | data 0.1 ms | step 113.7 ms | 4504.6 samples/s
  step  1450/1558 | loss 0.3043 | data 0.1 ms | step 113.7 ms | 4504.9 samples/s
  step  1500/1558 | loss 0.2859 | data 0.1 ms | step 113.8 ms | 4500.1 samples/s
  step  1550/1558 | loss 0.2947 | data 0.2 ms | step 113.8 ms | 4499.3 samples/s
Train Loss: 0.5278
Epoch 2
  step    50/1558 | loss 0.2887 | data 7.3 ms | step 121.7 ms | 4206.0 samples/s
  step   100/1558 | loss 0.2747 | data 0.1 ms | step 119.9 ms | 4269.8 samples/s
  step   150/1558 | loss 0.2571 | data 0.1 ms | step 114.2 ms | 4484.4 samples/s
  step   200/1558 | loss 0.2470 | data 0.1 ms | step 114.2 ms | 4482.0 samples/s
  step   250/1558 | loss 0.2557 | data 0.1 ms | step 113.9 ms | 4494.8 samples/s
  step   300/1558 | loss 0.2317 | data 0.1 ms | step 114.1 ms | 4487.3 samples/s
  step   350/1558 | loss 0.2440 | data 0.1 ms | step 114.1 ms | 4486.9 samples/s
  step   400/1558 | loss 0.2366 | data 0.1 ms | step 114.1 ms | 4488.8 samples/s
  step   450/1558 | loss 0.2235 | data 0.1 ms | step 114.3 ms | 4480.9 samples/s
  step   500/1558 | loss 0.2296 | data 0.1 ms | step 114.3 ms | 4477.8 samples/s
  step   550/1558 | loss 0.2406 | data 0.1 ms | step 114.5 ms | 4472.5 samples/s
  step   600/1558 | loss 0.2210 | data 0.1 ms | step 114.0 ms | 4491.4 samples/s
  step   650/1558 | loss 0.2210 | data 0.1 ms | step 114.2 ms | 4483.4 samples/s
  step   700/1558 | loss 0.2170 | data 0.1 ms | step 114.2 ms | 4483.1 samples/s
  step   750/1558 | loss 0.2146 | data 0.1 ms | step 113.6 ms | 4507.8 samples/s
  step   800/1558 | loss 0.2161 | data 0.1 ms | step 113.9 ms | 4494.1 samples/s
  step   850/1558 | loss 0.2051 | data 0.1 ms | step 114.0 ms | 4492.4 samples/s
  step   900/1558 | loss 0.2342 | data 0.1 ms | step 114.1 ms | 4488.0 samples/s
  step   950/1558 | loss 0.2196 | data 0.1 ms | step 111.8 ms | 4579.9 samples/s
  step  1000/1558 | loss 0.2004 | data 0.1 ms | step 110.7 ms | 4626.1 samples/s
  step  1050/1558 | loss 0.2026 | data 0.1 ms | step 110.7 ms | 4623.3 samples/s
  step  1100/1558 | loss 0.1984 | data 0.1 ms | step 110.9 ms | 4618.8 samples/s
  step  1150/1558 | loss 0.1938 | data 0.1 ms | step 110.6 ms | 4628.8 samples/s
  step  1200/1558 | loss 0.2126 | data 0.1 ms | step 110.4 ms | 4639.4 samples/s
  step  1250/1558 | loss 0.1818 | data 0.1 ms | step 109.9 ms | 4660.3 samples/s
  step  1300/1558 | loss 0.1974 | data 0.1 ms | step 110.1 ms | 4652.0 samples/s
  step  1350/1558 | loss 0.1918 | data 0.1 ms | step 110.3 ms | 4643.2 samples/s
  step  1400/1558 | loss 0.1902 | data 0.1 ms | step 110.3 ms | 4640.7 samples/s
  step  1450/1558 | loss 0.1812 | data 0.1 ms | step 119.8 ms | 4272.2 samples/s
  step  1500/1558 | loss 0.1909 | data 0.1 ms | step 121.8 ms | 4201.9 samples/s
  step  1550/1558 | loss 0.1853 | data 0.2 ms | step 120.8 ms | 4237.5 samples/s
Train Loss: 0.2193
Epoch 3
  step    50/1558 | loss 0.1834 | data 7.3 ms | step 119.8 ms | 4272.9 samples/s
  step   100/1558 | loss 0.1920 | data 0.1 ms | step 121.3 ms | 4221.6 samples/s
  step   150/1558 | loss 0.1798 | data 0.1 ms | step 120.9 ms | 4235.0 samples/s
  step   200/1558 | loss 0.1885 | data 0.1 ms | step 116.8 ms | 4382.7 samples/s
  step   250/1558 | loss 0.1744 | data 0.1 ms | step 117.0 ms | 4376.6 samples/s
  step   300/1558 | loss 0.1710 | data 0.1 ms | step 118.0 ms | 4339.8 samples/s
  step   350/1558 | loss 0.1793 | data 0.1 ms | step 119.1 ms | 4300.4 samples/s
  step   400/1558 | loss 0.1813 | data 0.1 ms | step 116.6 ms | 4392.1 samples/s
  step   450/1558 | loss 0.1679 | data 0.1 ms | step 117.1 ms | 4374.0 samples/s
  step   500/1558 | loss 0.1800 | data 0.1 ms | step 117.1 ms | 4370.5 samples/s
  step   550/1558 | loss 0.1872 | data 0.1 ms | step 115.0 ms | 4452.3 samples/s
  step   600/1558 | loss 0.1788 | data 0.1 ms | step 114.4 ms | 4475.0 samples/s
  step   650/1558 | loss 0.1743 | data 0.1 ms | step 113.9 ms | 4497.1 samples/s
  step   700/1558 | loss 0.1745 | data 0.1 ms | step 113.4 ms | 4514.3 samples/s
  step   750/1558 | loss 0.1644 | data 0.1 ms | step 113.9 ms | 4495.3 samples/s
  step   800/1558 | loss 0.1724 | data 0.1 ms | step 114.2 ms | 4485.3 samples/s
  step   850/1558 | loss 0.1636 | data 0.1 ms | step 114.0 ms | 4489.5 samples/s
  step   900/1558 | loss 0.1714 | data 0.1 ms | step 113.5 ms | 4509.8 samples/s
  step   950/1558 | loss 0.1626 | data 0.1 ms | step 113.0 ms | 4530.6 samples/s
  step  1000/1558 | loss 0.1801 | data 0.1 ms | step 115.2 ms | 4443.2 samples/s
  step  1050/1558 | loss 0.1611 | data 0.1 ms | step 115.8 ms | 4422.7 samples/s
  step  1100/1558 | loss 0.1654 | data 0.1 ms | step 113.8 ms | 4498.2 samples/s
  step  1150/1558 | loss 0.1702 | data 0.1 ms | step 114.2 ms | 4485.1 samples/s
  step  1200/1558 | loss 0.1616 | data 0.1 ms | step 114.3 ms | 4481.3 samples/s
  step  1250/1558 | loss 0.1739 | data 0.1 ms | step 114.2 ms | 4482.9 samples/s
  step  1300/1558 | loss 0.1627 | data 0.1 ms | step 114.3 ms | 4478.1 samples/s
  step  1350/1558 | loss 0.1611 | data 0.1 ms | step 114.0 ms | 4490.7 samples/s
  step  1400/1558 | loss 0.1581 | data 0.1 ms | step 114.1 ms | 4486.6 samples/s
  step  1450/1558 | loss 0.1670 | data 0.1 ms | step 114.1 ms | 4487.1 samples/s
  step  1500/1558 | loss 0.1668 | data 0.1 ms | step 114.1 ms | 4488.5 samples/s
  step  1550/1558 | loss 0.1677 | data 0.1 ms | step 114.1 ms | 4486.9 samples/s
Train Loss: 0.1721
Epoch 4
  step    50/1558 | loss 0.1673 | data 7.2 ms | step 115.0 ms | 4450.5 samples/s
  step   100/1558 | loss 0.1609 | data 0.1 ms | step 114.1 ms | 4487.9 samples/s
  step   150/1558 | loss 0.1581 | data 0.1 ms | step 114.0 ms | 4492.7 samples/s
  step   200/1558 | loss 0.1623 | data 0.1 ms | step 114.1 ms | 4488.4 samples/s
  step   250/1558 | loss 0.1504 | data 0.1 ms | step 114.0 ms | 4490.1 samples/s
  step   300/1558 | loss 0.1540 | data 0.1 ms | step 115.7 ms | 4426.2 samples/s
  step   350/1558 | loss 0.1557 | data 0.1 ms | step 117.2 ms | 4370.2 samples/s
  step   400/1558 | loss 0.1525 | data 0.1 ms | step 115.4 ms | 4435.4 samples/s
  step   450/1558 | loss 0.1551 | data 0.1 ms | step 114.8 ms | 4461.1 samples/s
  step   500/1558 | loss 0.1589 | data 0.1 ms | step 114.7 ms | 4463.3 samples/s
  step   550/1558 | loss 0.1409 | data 0.1 ms | step 114.6 ms | 4468.1 samples/s
  step   600/1558 | loss 0.1607 | data 0.1 ms | step 114.5 ms | 4473.1 samples/s
  step   650/1558 | loss 0.1597 | data 0.1 ms | step 114.6 ms | 4468.0 samples/s
  step   700/1558 | loss 0.1529 | data 0.1 ms | step 113.4 ms | 4513.6 samples/s
  step   750/1558 | loss 0.1529 | data 0.1 ms | step 112.9 ms | 4535.2 samples/s
  step   800/1558 | loss 0.1487 | data 0.1 ms | step 113.0 ms | 4531.8 samples/s
  step   850/1558 | loss 0.1475 | data 0.1 ms | step 113.2 ms | 4523.6 samples/s
  step   900/1558 | loss 0.1597 | data 0.1 ms | step 113.0 ms | 4529.2 samples/s
  step   950/1558 | loss 0.1528 | data 0.1 ms | step 120.8 ms | 4240.0 samples/s
  step  1000/1558 | loss 0.1506 | data 0.1 ms | step 124.0 ms | 4129.2 samples/s
  step  1050/1558 | loss 0.1497 | data 0.1 ms | step 124.0 ms | 4129.5 samples/s
