Starting DDP Training: World Size 1, Batch Size 256 (Global 256)
Epoch 1
  step   200/1558 | loss 0.8419 | data 0.1 ms | step 136.2 ms | 3758.9 samples/s
  step   250/1558 | loss 0.7413 | data 0.1 ms | step 136.3 ms | 3756.3 samples/s
  step   300/1558 | loss 0.6528 | data 0.1 ms | step 136.2 ms | 3758.7 samples/s
  step   350/1558 | loss 0.6193 | data 0.1 ms | step 136.4 ms | 3753.8 samples/s
  step   400/1558 | loss 0.5870 | data 0.1 ms | step 139.5 ms | 3670.2 samples/s
  step   450/1558 | loss 0.5698 | data 0.1 ms | step 141.3 ms | 3622.7 samples/s
  step   500/1558 | loss 0.5262 | data 0.1 ms | step 138.6 ms | 3693.1 samples/s
  step   550/1558 | loss 0.4912 | data 0.1 ms | step 139.4 ms | 3673.2 samples/s
  step   600/1558 | loss 0.4827 | data 0.1 ms | step 139.6 ms | 3667.4 samples/s
  step   650/1558 | loss 0.4719 | data 0.1 ms | step 139.5 ms | 3669.1 samples/s
  step   700/1558 | loss 0.4592 | data 0.1 ms | step 139.3 ms | 3675.6 samples/s
  step   750/1558 | loss 0.4322 | data 0.1 ms | step 136.0 ms | 3763.9 samples/s
  step   800/1558 | loss 0.4065 | data 0.1 ms | step 136.4 ms | 3752.6 samples/s
  step   850/1558 | loss 0.3920 | data 0.1 ms | step 135.7 ms | 3771.8 samples/s
  step   900/1558 | loss 0.3891 | data 0.1 ms | step 136.3 ms | 3756.2 samples/s
  step   950/1558 | loss 0.3704 | data 0.1 ms | step 135.7 ms | 3772.1 samples/s
  step  1000/1558 | loss 0.3667 | data 0.1 ms | step 136.2 ms | 3759.5 samples/s
  step  1050/1558 | loss 0.3628 | data 0.1 ms | step 135.9 ms | 3767.8 samples/s
  step  1100/1558 | loss 0.3359 | data 0.1 ms | step 135.9 ms | 3766.2 samples/s
  step  1150/1558 | loss 0.3321 | data 0.1 ms | step 136.2 ms | 3760.3 samples/s
  step  1200/1558 | loss 0.3605 | data 0.1 ms | step 136.0 ms | 3763.8 samples/s
  step  1250/1558 | loss 0.3448 | data 0.1 ms | step 135.9 ms | 3767.4 samples/s
  step  1300/1558 | loss 0.3264 | data 0.1 ms | step 136.1 ms | 3762.1 samples/s
  step  1350/1558 | loss 0.3264 | data 0.1 ms | step 135.9 ms | 3766.2 samples/s
  step  1400/1558 | loss 0.3092 | data 0.1 ms | step 136.7 ms | 3744.2 samples/s
  step  1450/1558 | loss 0.2992 | data 0.1 ms | step 136.3 ms | 3757.3 samples/s
  step  1500/1558 | loss 0.2948 | data 0.1 ms | step 135.7 ms | 3772.6 samples/s
  step  1550/1558 | loss 0.2959 | data 0.1 ms | step 136.5 ms | 3751.5 samples/s
Train Loss: 0.4911
Epoch 2
  step    50/1558 | loss 0.2629 | data 5.5 ms | step 136.2 ms | 3758.3 samples/s
  step   100/1558 | loss 0.2605 | data 0.1 ms | step 136.1 ms | 3761.1 samples/s
  step   150/1558 | loss 0.2425 | data 0.1 ms | step 136.2 ms | 3759.1 samples/s
  step   200/1558 | loss 0.2371 | data 0.1 ms | step 136.2 ms | 3759.3 samples/s
  step   250/1558 | loss 0.2603 | data 0.1 ms | step 136.1 ms | 3762.3 samples/s
  step   300/1558 | loss 0.2486 | data 0.1 ms | step 136.1 ms | 3762.7 samples/s
  step   350/1558 | loss 0.2562 | data 0.1 ms | step 136.2 ms | 3757.9 samples/s
  step   400/1558 | loss 0.2539 | data 0.1 ms | step 136.3 ms | 3756.4 samples/s
  step   450/1558 | loss 0.2405 | data 0.1 ms | step 135.9 ms | 3768.5 samples/s
  step   500/1558 | loss 0.2283 | data 0.1 ms | step 135.9 ms | 3768.6 samples/s
  step   550/1558 | loss 0.2196 | data 0.1 ms | step 135.9 ms | 3768.5 samples/s
  step   600/1558 | loss 0.2139 | data 0.1 ms | step 136.0 ms | 3764.7 samples/s
  step   650/1558 | loss 0.2329 | data 0.1 ms | step 138.6 ms | 3693.3 samples/s
  step   700/1558 | loss 0.2119 | data 0.1 ms | step 138.5 ms | 3696.8 samples/s
  step   750/1558 | loss 0.2129 | data 0.1 ms | step 136.0 ms | 3764.0 samples/s
  step   800/1558 | loss 0.2068 | data 0.1 ms | step 135.9 ms | 3767.8 samples/s
  step   850/1558 | loss 0.1921 | data 0.1 ms | step 136.2 ms | 3760.3 samples/s
  step   900/1558 | loss 0.2133 | data 0.1 ms | step 138.2 ms | 3706.1 samples/s
  step   950/1558 | loss 0.1898 | data 0.1 ms | step 139.8 ms | 3662.0 samples/s
  step  1000/1558 | loss 0.1923 | data 0.1 ms | step 139.8 ms | 3662.7 samples/s
  step  1050/1558 | loss 0.2013 | data 0.1 ms | step 139.7 ms | 3664.4 samples/s
  step  1100/1558 | loss 0.1858 | data 0.1 ms | step 139.5 ms | 3670.6 samples/s
  step  1150/1558 | loss 0.1915 | data 0.1 ms | step 139.6 ms | 3668.1 samples/s
